domain,problem,sat_time,sat_makespan,hsp_time,hsp_makespan
blocksworld,p01.pddl,8,2.396,6,1.094
blocksworld,p02.pddl,10,2.089,10,1.097
blocksworld,p03.pddl,8,2.261,6,1.003
blocksworld,p04.pddl,16,2.252,12,1.116
blocksworld,p05.pddl,14,2.255,10,1.083
depots,p01.pddl,14,6.567,10,1.055
depots,p02.pddl,16,4.331,15,1.365
depots,p03.pddl,31,495.911,29,3.824
depots,p04.pddl,0,1800.106,30,10.961
depots,p05.pddl,0,1800.112,44,272.232
gripper,p01.pddl,13,2.175,11,1.068
gripper,p02.pddl,25,20.741,17,1.233
gripper,p03.pddl,29,18.765,23,2.146
gripper,p04.pddl,29,59.074,29,6.021
gripper,p05.pddl,0,1800.104,35,26.916
logistics,p01.pddl,31,2.925,20,1.415
logistics,p02.pddl,29,3.078,19,1.473
logistics,p03.pddl,16,2.603,15,1.271
logistics,p04.pddl,32,3.551,27,2.009
logistics,p05.pddl,31,4.343,17,1.452

